k,p,codeType,accuracy
1,0,one-hot,0.278341
1,1,one-hot,0.165539
1,2,one-hot,0.137743
1,3,one-hot,0.159739
2,0,one-hot,0.320257
2,1,one-hot,0.222786
2,2,one-hot,0.186098
2,3,one-hot,0.183235
3,0,one-hot,0.323438
3,1,one-hot,0.242265
3,2,one-hot,0.225416
3,3,one-hot,0.211068
4,0,one-hot,0.334037
4,1,one-hot,0.241043
4,2,one-hot,0.232678
4,3,one-hot,0.216464
5,0,one-hot,0.343284
5,1,one-hot,0.230389
5,2,one-hot,0.22645
5,3,one-hot,0.223957
6,0,one-hot,0.335005
6,1,one-hot,0.229859
6,2,one-hot,0.232268
6,3,one-hot,0.228537
7,0,one-hot,0.334545
7,1,one-hot,0.240484
7,2,one-hot,0.237469
7,3,one-hot,0.23567
8,0,one-hot,0.330291
8,1,one-hot,0.269847
8,2,one-hot,0.246241
8,3,one-hot,0.252066
9,0,one-hot,0.340163
9,1,one-hot,0.260505
9,2,one-hot,0.237099
9,3,one-hot,0.246871
10,0,one-hot,0.331359
10,1,one-hot,0.270289
10,2,one-hot,0.245374
10,3,one-hot,0.249728
11,0,one-hot,0.343332
11,1,one-hot,0.268184
11,2,one-hot,0.257267
11,3,one-hot,0.251569
12,0,one-hot,0.34469
12,1,one-hot,0.269444
12,2,one-hot,0.257696
12,3,one-hot,0.250719
13,0,one-hot,0.337073
13,1,one-hot,0.261477
13,2,one-hot,0.269407
13,3,one-hot,0.254838
14,0,one-hot,0.330116
14,1,one-hot,0.262519
14,2,one-hot,0.26483
14,3,one-hot,0.247139
15,0,one-hot,0.330157
15,1,one-hot,0.25975
15,2,one-hot,0.266755
15,3,one-hot,0.246164
16,0,one-hot,0.330562
16,1,one-hot,0.25056
16,2,one-hot,0.260635
16,3,one-hot,0.241131
17,0,one-hot,0.323959
17,1,one-hot,0.257576
17,2,one-hot,0.261069
17,3,one-hot,0.244965
18,0,one-hot,0.322281
18,1,one-hot,0.256889
18,2,one-hot,0.255523
18,3,one-hot,0.239592
19,0,one-hot,0.32101
19,1,one-hot,0.255109
19,2,one-hot,0.256832
19,3,one-hot,0.247134
20,0,one-hot,0.318888
20,1,one-hot,0.260108
20,2,one-hot,0.261383
20,3,one-hot,0.253679
21,0,one-hot,0.32252
21,1,one-hot,0.258192
21,2,one-hot,0.262237
21,3,one-hot,0.253403
22,0,one-hot,0.312606
22,1,one-hot,0.259453
22,2,one-hot,0.259251
22,3,one-hot,0.255184
23,0,one-hot,0.312181
23,1,one-hot,0.268036
23,2,one-hot,0.253944
23,3,one-hot,0.246549
24,0,one-hot,0.314554
24,1,one-hot,0.265452
24,2,one-hot,0.255488
24,3,one-hot,0.249183
25,0,one-hot,0.307933
25,1,one-hot,0.264024
25,2,one-hot,0.264012
25,3,one-hot,0.256435
26,0,one-hot,0.312504
26,1,one-hot,0.262831
26,2,one-hot,0.263519
26,3,one-hot,0.257865
27,0,one-hot,0.306933
27,1,one-hot,0.27015
27,2,one-hot,0.267372
27,3,one-hot,0.259271
28,0,one-hot,0.308561
28,1,one-hot,0.265131
28,2,one-hot,0.263528
28,3,one-hot,0.25401
29,0,one-hot,0.308661
29,1,one-hot,0.26553
29,2,one-hot,0.262168
29,3,one-hot,0.255111
k,p,codeType,accuracy
1,0,tf-idf,0.323695
1,1,tf-idf,0.288349
1,2,tf-idf,0.240123
1,3,tf-idf,0.215834
2,0,tf-idf,0.367839
2,1,tf-idf,0.327408
2,2,tf-idf,0.253267
2,3,tf-idf,0.279821
3,0,tf-idf,0.380987
3,1,tf-idf,0.335164
3,2,tf-idf,0.268274
3,3,tf-idf,0.290465
4,0,tf-idf,0.394536
4,1,tf-idf,0.341237
4,2,tf-idf,0.266428
4,3,tf-idf,0.265152
5,0,tf-idf,0.40819
5,1,tf-idf,0.34619
5,2,tf-idf,0.259383
5,3,tf-idf,0.257572
6,0,tf-idf,0.400979
6,1,tf-idf,0.331538
6,2,tf-idf,0.247471
6,3,tf-idf,0.25546
7,0,tf-idf,0.397502
7,1,tf-idf,0.338544
7,2,tf-idf,0.244013
7,3,tf-idf,0.250101
8,0,tf-idf,0.399796
8,1,tf-idf,0.31667
8,2,tf-idf,0.2485
8,3,tf-idf,0.253942
9,0,tf-idf,0.405028
9,1,tf-idf,0.318369
9,2,tf-idf,0.23925
9,3,tf-idf,0.238744
10,0,tf-idf,0.404706
10,1,tf-idf,0.326082
10,2,tf-idf,0.234545
10,3,tf-idf,0.226359
11,0,tf-idf,0.403453
11,1,tf-idf,0.326623
11,2,tf-idf,0.243476
11,3,tf-idf,0.223881
12,0,tf-idf,0.402405
12,1,tf-idf,0.335609
12,2,tf-idf,0.248373
12,3,tf-idf,0.21448
13,0,tf-idf,0.395109
13,1,tf-idf,0.333569
13,2,tf-idf,0.254258
13,3,tf-idf,0.218977
14,0,tf-idf,0.385257
14,1,tf-idf,0.340624
14,2,tf-idf,0.246797
14,3,tf-idf,0.220659
15,0,tf-idf,0.384086
15,1,tf-idf,0.335012
15,2,tf-idf,0.248693
15,3,tf-idf,0.227167
16,0,tf-idf,0.383324
16,1,tf-idf,0.32798
16,2,tf-idf,0.241245
16,3,tf-idf,0.224255
17,0,tf-idf,0.376586
17,1,tf-idf,0.325676
17,2,tf-idf,0.248813
17,3,tf-idf,0.220086
18,0,tf-idf,0.370919
18,1,tf-idf,0.325887
18,2,tf-idf,0.252455
18,3,tf-idf,0.221441
19,0,tf-idf,0.366207
19,1,tf-idf,0.320203
19,2,tf-idf,0.25369
19,3,tf-idf,0.22471
20,0,tf-idf,0.358584
20,1,tf-idf,0.323979
20,2,tf-idf,0.254725
20,3,tf-idf,0.237356
21,0,tf-idf,0.355967
21,1,tf-idf,0.326657
21,2,tf-idf,0.247794
21,3,tf-idf,0.236179
22,0,tf-idf,0.351504
22,1,tf-idf,0.329698
22,2,tf-idf,0.2499
22,3,tf-idf,0.232435
23,0,tf-idf,0.348772
23,1,tf-idf,0.325475
23,2,tf-idf,0.25127
23,3,tf-idf,0.2277
24,0,tf-idf,0.353332
24,1,tf-idf,0.321761
24,2,tf-idf,0.253912
24,3,tf-idf,0.220402
25,0,tf-idf,0.349052
25,1,tf-idf,0.321898
25,2,tf-idf,0.252896
25,3,tf-idf,0.224139
26,0,tf-idf,0.348746
26,1,tf-idf,0.321049
26,2,tf-idf,0.249761
26,3,tf-idf,0.220981
27,0,tf-idf,0.34318
27,1,tf-idf,0.319043
27,2,tf-idf,0.252884
27,3,tf-idf,0.215759
28,0,tf-idf,0.346085
28,1,tf-idf,0.316776
28,2,tf-idf,0.244501
28,3,tf-idf,0.207867
29,0,tf-idf,0.342854
29,1,tf-idf,0.316459
29,2,tf-idf,0.238935
29,3,tf-idf,0.211089
